source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_pc,distance_ly,x_ly,y_ly,z_ly
4917653101979809408,23.919353599036572,-50.261323683749325,23.326269372617688,0.018390348,1268.3973,235.05065710643532,59.24593290063035,47.645817,10.69063,11.383751,9.557892,1.8258591,1.0361819,42.87012140800719,139.82347317949993,81.71048644595514,36.242128960486674,-107.51980350221615
3266288097071134080,46.95531882356852,-0.48383701045191685,23.32548968682736,0.022805717,1022.7913,26.446153848202844,8.990946796664444,11.579926,12.008564,13.091987,10.974725,2.117262,1.3315586,42.871554399337285,139.82814696670252,95.4388837002728,102.18579128550897,-1.180771587548925
5391312403307270784,160.64237502271692,-42.68087429912278,23.325358962895656,0.12297104,189.68172,-361.07391410330814,44.5634134970464,-2.523301,13.612405,15.220153,12.387691,2.8324623,9.593961,42.871794667371674,139.82893061531274,-96.98282740960175,34.072443786863175,-94.79203341553757
4216415956227534208,305.3289062485021,-6.439168202827033,23.325301597987252,0.022099612,1055.462,198.10433787689976,-495.2651991237349,-328.26642,11.238422,12.014214,10.377506,1.6367073,1.17736,42.871900103803604,139.82927450256167,80.34887660314034,-113.35947754888328,-15.681609814374914
4721532457018499456,44.40838419651548,-62.990958334964425,23.32462981453838,0.055204105,422.51624,-8.130129036129247,101.56222366517981,,16.94786,19.475721,15.5329075,3.9428139,0.9423154,42.87313487722297,139.83330179015533,45.364407357665755,44.43711587125586,-124.58236459334444
822368490657380224,151.2152064425413,47.2146663949999,23.324562950177008,0.022674892,1028.6515,-339.99301747514744,-186.82845193752865,-3.3839982,14.525549,16.236027,13.273517,2.96251,1.1395006,42.873257781338665,139.83370264930292,-83.24596423580944,45.7360892466228,102.62448039083539
1003680706856426368,100.29201383328794,61.134563340929574,23.324341478274192,0.016720328,1394.9691,-76.99361143928266,-209.91567445219823,40.32426,10.891843,11.686307,10.02213,1.664177,1.1222969,42.8736648763038,139.8350304139574,-12.060954696050997,66.41977097722432,122.46135360196405
219038663471328128,61.03237784871682,35.01103396027742,23.324246254045338,0.06340883,367.8391,133.35392417027452,-246.19440128247368,,16.297932,18.614882,14.910299,3.7045822,1.092451,42.87383991354322,139.83560130841602,55.46919764561403,100.20258043518744,80.22846365204731
4070503994477694592,267.2450454909461,-21.977806229748598,23.324146231279936,0.30577472,76.27886,-20.437628149481263,-106.26786200940585,,15.09887,15.985628,13.059371,2.9262571,2.2440543,42.87402377279316,139.83620097639124,-6.232723302302094,-129.52427612606613,-52.33333696378629
4081977844876890880,286.8579554084174,-21.614315281608086,23.323511892471394,0.031193305,747.7089,0.7964719376479428,-17.47899973990957,62.41923,13.379969,14.631967,12.257026,2.3749409,1.2552134,42.875189834631655,139.84000415704122,37.702052371853526,-124.42024172206504,-51.511022698197586
4356207933301482880,242.84973758076922,-5.279470477927102,23.323302748303348,0.017423205,1338.6345,-129.3513172466812,154.23841398022202,-79.15812,13.246381,14.528239,12.125733,2.4025059,1.1587771,42.87557430401854,139.8412581270147,-63.54244274640327,-123.90467044087646,-12.86732634637879
5050955383470408320,45.69009696356717,-34.506552632347244,23.323115773090304,0.018258426,1277.3892,16.666733166473623,28.26041355314176,13.298659,11.467993,12.430057,10.495541,1.934516,1.155833,42.87591802608886,139.84237919717037,80.49872880519317,82.46159348646891,-79.22077555758653
2687733290513443840,323.0515374357293,0.22183040193375933,23.323056255878566,0.023520237,991.6166,414.0444856017607,28.610053400155806,-109.785965,9.351069,9.904645,8.635809,1.268836,1.4307812,42.87602743949779,139.8427360555684,111.75819328144927,-84.05833642389327,0.5414236983864613
6300190876854455424,216.93838666971382,-13.35945420194349,23.322602891077317,0.039047915,597.2817,-62.26757159018999,-23.586966326323004,-18.284117,6.5444555,6.7553086,6.177879,0.5774298,1.1083084,42.87686090057198,139.84545443886952,-108.75128515532293,-81.76676626532146,-32.312614236422675
1092189709265324416,130.36492620418161,64.37376759094975,23.32251370064059,0.4106402,56.795498,-76.6186700715044,-149.91021862461616,,14.563755,16.539227,13.17659,3.3626366,16.19868,42.87702487114557,139.84598923873355,-39.17215881023971,46.084257640941935,126.0899832579441
2392703946771797248,350.6789551172092,-19.69135105122326,23.32211156673729,0.023153994,1007.26086,-229.68625859732964,-183.15433936723196,33.970375,8.52524,8.872688,7.9827466,0.8899417,1.0816917,42.87776418264934,139.84840054756177,129.93172891901617,-21.326143570589096,-47.12235728646424
2409310631095904896,351.31767551634493,-12.875432729437168,23.321910506421524,0.018908942,1233.38,176.3703044498935,-22.286165348046048,-2.513647,10.879247,11.781229,9.94508,1.8361492,1.1160626,42.878133835761744,139.84960619336707,134.77103220350574,-20.58031806108427,-31.162986694892954
951427000863064192,102.87735469442386,40.867211419900904,23.321615461390095,0.021762641,1071.6354,34.68188386145163,-122.68645636954258,11.984356,7.929907,8.284594,7.4048944,0.87969923,1.0115378,42.87867629305275,139.85137545036912,-23.570080723027804,103.0996100968394,91.5058954819292
231711771932403200,58.94238500353137,43.38605925465901,23.32155850113108,0.041068714,567.86676,-132.71675826009263,27.942956662737785,-29.793556,10.49577,10.745625,9.236783,1.5088415,2.023182,42.87878101935172,139.8517170214768,52.4340352980004,87.06645266986605,96.06564170247988
2570700555593258624,30.111210451859893,9.953824099530397,23.321259170441603,0.15808772,147.521,144.63353254939648,124.36913859721727,17.558472,15.623188,17.609104,14.306536,3.3025684,3.889587,42.87933137278644,139.85351203222532,119.159662034935,69.1055926978082,24.17430101062906
471948809130652928,66.87453634264486,60.45606453002818,23.321175879343826,0.025809105,903.6026,88.6626237449583,-345.4091073823158,25.557915,14.75248,16.442865,13.513446,2.9294195,1.1127476,42.87948451543244,139.8540115161538,27.084041549145567,63.41953068062624,121.66989092940679
108378968524642176,44.562074119902796,20.379500587639697,23.320405313399085,0.031668864,736.3827,226.41981470316097,-173.36392023012792,30.737497,14.522074,16.027319,13.328969,2.69835,1.2664737,42.88090136346966,139.8586326510381,93.41066943599861,91.99355131045692,48.70390620706867
5871824582704817280,207.923359762759,-57.109283806949676,23.320240899695943,0.018277397,1275.906,135.56185126890352,-142.7563004538441,36.518757,12.834532,13.991991,11.762952,2.2290392,1.2392797,42.88120368486581,139.8596186904109,-67.10674735873063,-35.566231118658834,-117.44122190769637
5055439913443175808,54.109611448460406,-31.77892092651669,23.31899102964669,0.028094428,830.0219,-24.613774312270966,-93.32661259450936,19.167934,15.483672,17.339909,14.198719,3.1411896,1.1066232,42.8835020661334,139.86711499881804,69.70301510823306,96.32495385265699,-73.66004892882928
3674332362676365824,211.96385754704036,7.891595411342446,23.318508123646332,0.027169827,858.2501,59.88576259572041,-137.1162988847568,13.258115,11.371989,12.297172,10.421202,1.8759699,1.5395814,42.88439014612352,139.87001152499062,-117.53944193829807,-73.34374050408464,19.204047534412023
6339360836860803840,225.13947405688353,-2.618831860356945,23.318493383279044,0.018606037,1253.2756,-73.08466052620383,14.082050674895163,-25.47481,13.355604,14.706877,12.1911,2.5157766,1.1237109,42.884417254721455,139.8700999413093,-98.5590033301785,-99.04001591998734,-6.3908502347007765
4492397115713658880,264.59312268561445,10.212718670847952,23.317478989760726,0.13829172,168.61081,46.17245449561054,-409.6042495650632,,18.195772,18.679964,17.570282,1.1096821,1.0318872,42.88628287985697,139.87618478962628,-12.971402901306012,-137.04752878411665,24.80049661277738
4664064317139122816,78.3557651243738,-64.53720555428859,23.317351099691603,0.043705735,533.5078,-32.8452387419687,109.67257060907274,,16.128683,18.301157,14.771985,3.529172,1.0855179,42.88651810081575,139.8769519768966,12.137615734414082,58.89895716299918,-126.28995535568903
3323397761811061504,89.11600817427242,8.079578739939544,23.317278731945727,0.01826629,1276.5197,96.526305058337,-65.18012933186222,26.9289,12.417244,13.546379,11.361914,2.1844654,1.2802294,42.88665120385402,139.87738610044212,2.1366012055174504,138.4724545572634,19.65953729026617
1764865081983331584,315.1231605075419,17.36388727247825,23.316985274089603,0.049875163,467.50696,-50.694516284465834,-155.3895445816384,-0.431527,12.818976,,,,1.3391438,42.88719095736721,139.8791465389106,94.60475526536638,-94.19891051875709,41.74543298030762
5087730817604200064,56.62702520462341,-22.298805836683286,23.316599338445055,0.013599674,1714.497,157.72596826315538,257.5516634220959,34.657085,10.552841,11.349186,9.680605,1.668581,0.9569221,42.88790082485023,139.8814618142985,71.19268329121734,108.08026554990148,-53.07618490212208
46106581298385280,63.032295738370316,17.626013239950193,23.316312552259124,0.07890037,295.51587,126.95643112401746,-37.90688907179175,,13.566901,15.04928,12.070415,2.9788656,1.2037457,42.8884283378295,139.8831823295312,60.45728999514533,118.81963553107234,42.35699466844764
2497289497101343360,42.53226039393142,-1.8409828586640533,23.31586321547685,0.056172524,415.07593,746.8472867150018,182.06211473021094,,16.038206,17.951899,14.742041,3.209858,1.1257194,42.889254871602155,139.88587811902272,103.02825314956762,94.51477423009287,-4.493929495804847
1922640636882254976,358.8164055447658,43.15095328787507,23.31523144368456,0.021439537,1087.4877,22.352954227789642,-95.88151855864112,-5.707094,11.432989,12.388213,10.463866,1.9243469,1.308249,42.89041703983907,139.88966860045753,102.03534134646492,-2.1081072116773165,95.67373924667257
4001570903120891264,182.99635137112085,23.093047485961414,23.31490397118314,0.022837304,1020.9132,-248.42171453044529,-29.462455029675343,6.0721846,8.524064,8.906855,7.969642,0.93721247,0.96682936,42.891019462742996,139.89163343890402,-128.5060651389382,-6.726511707866671,54.86906568327543
4278253211742400512,275.1624719595532,3.795274374509943,23.314880899990325,0.04669686,499.28152,-106.38441295943457,-242.66868443269277,,15.906131,17.864569,14.595045,3.2695236,1.040566,42.89106190546378,139.89177186838444,12.559893954235397,-139.01875982540898,9.259660735671282
1692427606677294336,186.82586173872906,75.40440011066057,23.314804517171403,0.010430324,2235.2905,-224.20700862591625,125.90421079248017,12.7649765,10.081739,10.744543,9.303379,1.441164,0.93364036,42.891202423056896,139.89223017494544,-35.002279721594306,-4.189793738337569,135.37770165740505
2491162812152853248,32.38525113126027,-5.219153686011429,23.31398890795884,0.022953993,1015.68335,219.4377923476362,-143.44504664232244,21.684532,13.030369,14.436721,11.8667965,2.5699244,1.3547344,42.89270291531381,139.89712412047092,117.64854451851302,74.61956206958016,-12.725811031049226
3232745403218464896,70.94377725739643,1.9427206368974597,23.313829317098353,0.039355274,592.39404,-56.317548414677155,-21.233883374425332,18.332829,14.097048,15.840025,12.824876,3.015149,1.7787443,42.892996530029514,139.89808176248306,45.6498834420009,132.1554735612815,4.742597426258303
