hip,ra,dec,plx,e_plx,pm_ra,pm_de,hp_mag,b_v,gaia_source_id,gaia_match_sep_arcsec,gaia_in_v2,distance_ly,gaia_match_note
59426,182.8458322,-16.79070415,30.92,0.95,-151.81,-56.82,7.0294,0.77,3569106488558337792,0.165,True,105.48382923673996,position+magnitude match
39096,119.97215565,9.89906561,30.92,1.1,123.31,-150.6,8.1198,0.657,3147159418113524992,0.003,True,105.48382923673996,position+magnitude match
6285,20.15432371,54.96255087,30.92,0.58,-93.11,-81.82,7.3348,0.586,410846061755266816,0.0,True,105.48382923673996,position+magnitude match
40875,125.10832098,57.74324461,30.91,0.36,57.98,14.5,5.9813,0.421,1035135776021753088,0.0,True,105.51795535425428,position+magnitude match
3092,9.83165586,30.86122597,30.91,0.15,114.45,-84.02,3.4328,1.268,2858629802998456576,1.476,True,105.51795535425428,position+magnitude match
18986,61.02910766,39.50995696,30.9,1.1,145.76,-96.3,7.2805,0.68,226778843075710976,0.019,True,105.55210355987056,position+magnitude match
7733,24.89851074,28.11067468,30.9,0.57,500.24,144.38,7.8768,0.733,301843159033054848,0.004,True,105.55210355987056,position+magnitude match
9553,30.68711907,-40.95072172,30.9,1.09,178.31,-62.7,9.1653,1.02,4957985696747200256,0.0,True,105.55210355987056,position+magnitude match
110655,336.26150174,-33.20484488,30.9,1.74,131.61,101.92,10.7038,1.312,6601267465828495616,0.0,True,105.55210355987056,position+magnitude match
50473,154.58937782,12.6212036,30.9,0.68,-272.29,-39.91,7.1471,0.594,3886688327612984704,0.0,True,105.55210355987056,position+magnitude match
3479,11.11019155,-26.51604496,30.89,0.75,314.7,150.27,7.923,0.664,2343647384368388608,0.004,True,105.58627387504043,position+magnitude match
48235,147.51031106,-49.79012089,30.89,0.62,24.32,-60.59,8.681,0.855,5406324138654973824,0.004,True,105.58627387504043,position+magnitude match
16085,51.80085344,-58.32391038,30.88,0.49,249.89,94.39,8.0974,0.761,4729947569262040960,0.0,True,105.62046632124353,position+magnitude match
71190,218.39503143,9.3356246,30.88,1.34,159.06,-512.83,8.965,0.923,1176167143218779776,0.003,True,105.62046632124353,position+magnitude match
53114,162.9959917,-32.0223761,30.86,2.68,-242.25,63.26,11.7203,1.473,5451130818018028288,0.004,True,105.6889176928062,position+magnitude match
101844,309.58091433,-55.60529122,30.84,2.8,13.9,-78.77,11.4894,1.42,6469806866317010048,0.003,True,105.757457846952,position+magnitude match
58863,181.07337448,9.19298136,30.84,1.73,-256.65,30.57,9.989,1.072,3905850581902839168,0.095,True,105.757457846952,position+magnitude match
19325,62.12834663,12.33871966,30.83,1.03,156.27,-335.1,8.7332,0.9,3305091447260175616,0.004,True,105.7917612714888,position+magnitude match
22717,73.27389238,-72.40833797,30.82,0.28,-46.15,271.15,6.3971,0.521,4652980484022414336,0.003,True,105.82608695652172,position+magnitude match
24659,79.37093078,-34.89438955,30.82,0.2,92.67,-336.23,4.9799,0.987,4825655246098033152,0.063,True,105.82608695652172,position+magnitude match
699,2.17092341,36.62742812,30.82,0.33,-114.52,-125.06,6.3175,0.504,2877522230262577024,0.0,True,105.82608695652172,position+magnitude match
100064,304.5134105,-12.54485879,30.82,0.19,62.63,2.66,3.7388,0.883,6880093650314169984,0.008,True,105.82608695652172,position+magnitude match
6273,20.12483572,-19.94845883,30.81,2.65,165.82,-228.02,7.7117,0.702,2353617309132684032,1.006,True,105.86043492372606,position+magnitude match
48718,149.05256334,-40.78679433,30.81,1.09,-143.17,-66.31,9.1407,0.943,5419631424793508608,0.121,True,105.86043492372606,position+magnitude match
112515,341.86152103,-44.96519089,30.8,0.76,-34.19,11.68,7.3488,0.598,6519711873737172608,0.006,True,105.89480519480516,position+magnitude match
75753,232.13123535,-33.1347984,30.79,2.6,-146.62,-112.61,10.9806,1.378,6206643671653125888,0.004,True,105.92919779149076,position+magnitude match
49555,151.77162578,52.15520149,30.76,0.98,209.18,-41.91,8.9694,0.912,851463355033997440,0.0,True,106.03250975292588,position+magnitude match
6639,21.29000632,-1.0589722,30.76,1.19,-191.02,-290.33,9.6115,1.026,2485808048791094784,0.003,True,106.03250975292588,position+magnitude match
79377,243.01012289,-18.23254306,30.76,0.82,40.02,-33.43,7.5418,0.616,6248934084311327616,0.0,True,106.03250975292588,position+magnitude match
75675,231.91293676,40.86535441,30.75,2.31,-115.0,279.53,11.5732,1.605,1390519168437282688,0.003,True,106.0669918699187,position+magnitude match
41443,126.79828923,28.93086067,30.75,1.5,-232.54,230.35,9.7404,1.109,707498696972158336,0.0,True,106.0669918699187,position+magnitude match
67211,206.58031187,-0.4579905,30.75,1.41,-427.96,-31.27,9.4541,0.928,3662100605054881664,0.0,True,106.0669918699187,position+magnitude match
112748,342.50041798,24.60168465,30.74,0.27,144.7,-41.87,3.6685,0.933,1876510592179455744,0.006,True,106.10149642160052,position+magnitude match
69881,214.50237285,-7.54181672,30.73,0.47,268.45,-235.92,6.608,0.723,3639760521643499776,0.0,True,106.13602342987308,position+magnitude match
10421,33.57625543,-49.86224238,30.73,1.04,231.61,-62.95,9.8437,1.278,4938555161620867072,0.02,True,106.13602342987308,position+magnitude match
13363,42.98400995,-30.81477502,30.73,0.41,124.42,105.51,6.4938,0.484,5064574724769475968,0.003,True,106.13602342987308,position+magnitude match
62607,192.4369786,1.18960391,30.71,0.74,-79.96,-644.02,8.2643,0.686,3702148666829533952,0.0,True,106.20514490394008,position+magnitude match
113445,344.64519635,9.35721794,30.71,0.52,394.78,-149.44,6.571,0.64,,1511.602,False,106.20514490394008,no Gaia match
8159,26.2327193,20.08340554,30.7,0.43,-44.75,-105.35,6.4169,0.72,95652018353917056,0.004,True,106.23973941368078,position+magnitude match
59726,183.74018079,-41.13923287,30.7,0.66,-313.55,-77.17,7.6164,0.649,6148487203123069056,0.0,True,106.23973941368078,position+magnitude match
66110,203.28413102,43.25290118,30.68,1.34,20.75,-58.54,9.497,1.08,1501385640285547520,0.043,True,106.3089960886571,position+magnitude match
57217,175.98663342,-29.74779485,30.68,0.54,-274.38,35.49,7.0913,0.552,3480588449539357184,0.0,True,106.3089960886571,position+magnitude match
21436,69.05810099,21.53664507,30.68,0.81,19.17,-42.55,7.7206,0.685,144786577364287104,0.008,True,106.3089960886571,position+magnitude match
61939,190.40443254,19.851304,30.67,1.6,23.57,-9.54,9.226,0.94,3948239125974974336,0.538,True,106.34365829801106,position+magnitude match
6558,21.06819547,12.90775197,30.67,1.28,267.05,-90.35,9.6569,1.02,2586728480188790144,0.003,True,106.34365829801106,position+magnitude match
